,class
class,1.0
B2_1,0.33278023928143097
B3_1,0.3602883405828277
B4_1,0.472764643472347
B8_1,-0.24052052854153763
B11_1,0.5877824788580782
B12_1,0.5555430542782344
B2_2,0.0911087134470227
B3_2,0.1686664869213122
B4_2,0.3805180873001659
B8_2,-0.255004436709364
B11_2,0.5806421470922976
B12_2,0.608673310064083
B2_3,0.21786048724408819
B3_3,0.2897620106132522
B4_3,0.47902356500773285
B8_3,-0.26554772001213656
B11_3,0.5667896281916065
B12_3,0.5913588218018831
B2_4,0.36941135382384394
B3_4,0.37169891362772556
B4_4,0.47426494067514596
B8_4,-0.3297023446762498
B11_4,0.5984716177202715
B12_4,0.5678927811737591
B2_5,0.22445054575572954
B3_5,0.2794574108810758
B4_5,0.458450649672619
B8_5,-0.23815702869260022
B11_5,0.5732967011836486
B12_5,0.6072640132204039
B2_6,0.37605437771322614
B3_6,0.40403308622744777
B4_6,0.5166217824236955
B8_6,-0.34797000481765816
B11_6,0.6295895024928547
B12_6,0.5940945337693219
B2_7,0.37957270319001296
B3_7,0.3844263136603238
B4_7,0.5101327080337297
B8_7,-0.2823837505233179
B11_7,0.5967649746840805
B12_7,0.5921786089885774
B2_8,0.35748091394304593
B3_8,0.3754711614819715
B4_8,0.49574291721610586
B8_8,-0.24548200087175387
B11_8,0.6350019299174983
B12_8,0.5972195167431575
B2_9,0.3242065222175917
B3_9,0.3812026450443095
B4_9,0.42216139086984195
B8_9,-0.2660418051147925
B11_9,0.5702492888630195
B12_9,0.5072015318600713
ndwi_1,0.38615602494564083
ndvi_1,-0.4908245520425488
ndwi_2,0.36320911653988136
ndvi_2,-0.4807628912435503
ndwi_3,0.3897646453556929
ndvi_3,-0.5110307543456865
ndwi_4,0.4501085061170621
ndvi_4,-0.5005088389329968
ndwi_5,0.3998822828947828
ndvi_5,-0.5200704910099521
ndwi_6,0.480748935659874
ndvi_6,-0.5434914496941557
ndwi_7,0.44596390796780516
ndvi_7,-0.5252266245966033
ndwi_8,0.4382093751423752
ndvi_8,-0.527890536036038
ndwi_9,0.37950237796889874
ndvi_9,-0.41847053438363496
